,hash,total_value,transaction_direction,real_time
0,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,43947313,outbound,2019-09-16 18:06:17
1,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,30929033,outbound,2019-09-04 16:02:38
2,77a6175bf7d4876e8e90f7f77b5111ba01f9219f9d6a6f5667ad3775bddfc4d4,1463460725,inbound,2019-09-02 13:36:41
3,20bb23f1ff263581d46b127859b549957a299ede1760ebc9468cb3fea03a0cfe,2055301759,inbound,2019-09-01 19:32:56
4,ac6f203b5beea3d3f5a893bf6005325e677b5f94a7df9e1312450741a58d317e,197501753,inbound,2019-09-01 18:47:19
5,ca44e50c62cb8d504cc817b552c251aa6aaaa7871018ff11a8e22b1d6e20d34b,14327036,inbound,2019-09-01 18:47:19
6,68c01097c42a1a944baeead9454056d1e6f3125b0ff416ce3d875ec0a483b2db,74372000,inbound,2019-09-01 18:09:20
7,61f5eafbdd66f5601e685c4a69490eae76b1a1ff55cdd778ec66e877b1980ac4,10750338,inbound,2019-09-01 18:09:20
8,10b323228aed0b890563d3239f6f7e1fc089db305ceebc6dd0c5553b399e75b3,24670932,inbound,2019-09-01 18:09:20
9,e0a2dc6623cd4e2ef4f6108f45ef65d2020f76be38761b5fb7e065466cab3043,18481311,inbound,2019-09-01 17:23:47
10,15224165478f3986294e9aa15858f96de5aa2390274d982c7720fce08cc55c97,10052663,inbound,2019-09-01 17:17:09
11,fde69ab91dcf5f616caf6ed68e99ea1dc44d59dab735bde382a124cdfca9806f,14509467,inbound,2019-09-01 17:15:57
